,Job Title,Location,Date,Link,Job Attributes,Job Desciption
1,Private Care Manager,"(Waltham, MA",Nov 29,https://boston.craigslist.org/gbs/npo/d/waltham-private-care-manager/7029023048.html,"
compensation: Competitive salary

employment type: employee's choice

non-profit organization

","

QR Code Link to This Post


Springwell is seeking an experienced social services professional to join our team as we expand our Private Care Management Program. Bring your passion for supporting vulnerable populations and their caregivers as well as your knowledge of community resources to this exciting position where you can truly make a difference.
POSITION DESCRIPTION
Springwell's Private Care Management Program is an innovative fee-based care management program that aims to expand our mission and our reach.  The Private Care Manager (PCM) is an experienced professional (Social Worker, Allied Health or other Human Services Professional) who will work to help find practical solutions to the challenges of aging, disability and caregiving by developing a comprehensive care plan that addresses the client's goals and preferences. The ideal candidate will have experience in home-and-community-based care and a good working knowledge of the health care and elder services landscape. The Springwell PCM will work as a member of our team to expand access to care management to those populations who may not qualify for subsidized service or have the means to pay privately at current market rates.
The Springwell PCM will conduct an assessment, identify resources and develop a care plan that meets the needs, goals and preferences of the client - and secure and coordinate the delivery of services upon request. Requests for assistance from the PCM are varied in depth and scope and require creativity, flexibility and problem solving skills. Additional responsibilities include provision of short-term Options Counseling delivered at no cost to callers to our Information and Consultation Department.
QUALIFICATIONS  
Bachelor's Degree required. Master's degree preferred in Social Work or other Human Services-related field.
Minimum of 2 years' experience working with elder or disabled adult population 
Knowledge of community resources, entitlements and private insurance systems. Working knowledge of the Massachusetts Aging Services Access Point is a plus.
Working knowledge of Microsoft Office Suite required.
Possess excellent customer service and problem-solving skills.
BENEFITS
3 weeks of vacation in first year
Birthday off
11 paid holidays
2 paid floating holidays
15 paid sick days per year (You can accumulate up to 450 hours)
Health & dental insurance with employer contribution
Life and long-term disability insurance at no cost to employee
Flexible Spending Plan
Employee Assistance Plan
401K Retirement Savings Plan w/ employer contribution
Mileage reimbursement
4-day work week option for many positions
Employee referral bonuses
Free parking
Commitment to promoting from within
COMPANY PROFILE
At Springwell, we are serious about our mission. For more than 40 years, our staff has worked to help ensure that seniors and individuals with disabilities have the village they need and the support that is necessary for them to live at home with dignity and independence.
We are also serious about our employees. We are focused on creating a supportive, open environment that values the people who make a difference - each, and every member of our staff. 
We believe in: 
Accountability: At every level of the organization we are accountable: to the people we serve, to our funders, to our employees, to community professionals who rely on our support.
Continuous Quality Improvement: We honor the fact that each of us is human, and we embrace a desire to examine the value and quality of our work and ask how we can provide a higher quality of service.
Transparency: While we don't claim to be 100% transparent (there are certain things, like salaries and performance evaluations that are private) we continuously strive to be as open as possible.
Balance: Life is a give and take, as is work. We are always examining that balance. Today, we have yoga classes on-site twice a week. We are exploring offering a Weight Watchers meeting. And afternoon meditation is under consideration. If there is a holiday to celebrate we have a party. This year, we built a dedicated lactation room for new moms. We are committed to listening to our staff, and examining and re-balancing our work environment.
 
If interested, please apply at https://springwell.applicantpro.com/jobs/
For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://springwell.applicantpro.com/jobs/1265675-143011.html "
2,Community Health Worker,"(Quincy, MA",Nov 29,https://boston.craigslist.org/sob/npo/d/quincy-community-health-worker/7029020933.html,"
compensation: Competitive salary

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Springwell is seeking a dynamic, committed social services professional to work collaboratively with health providers to address the social needs of high risk pediatric patients and their families at two Atrius Health sites (Braintree and Quincy). Seeking a creative problem-solver who can assess, educate, and support families in accessing community resources to improve health and quality of life.
POSITION DESCRIPTION
The CHW works under contract with our health provider partners to provide community resource coordination for patients who have complex medical and social needs. As part of a team with Nurse Care Managers, physicians and social workers, the CHW receives referrals and seeks out solutions to non-medical problems which impact health, including assistance with financial and insurance issues, transportation, behavioral health, in-home services, legal assistance, etc. The CHW meets with patients in their home, in the medical office or at other community locations to engage them and connect them to their primary care practice.
QUALIFICATIONS
 Bachelor's Degree in Social Work or related Human Services Field.
Previous experience in human services field, preferably in a community services or medical setting. 
GENEROUS BENEFITS
3 weeks of vacation in first year
Birthday off
11 paid holidays
2 paid floating holidays
15 paid sick days per year (You can accumulate up to 450 hours)
Health & dental insurance with employer contribution
Life and long-term disability insurance at no cost to employee
Flexible Spending Plan
Employee Assistance Plan
401K Retirement Savings Plan w/ employer contribution
Mileage reimbursement
4-day work week option for many positions
Employee referral bonuses
Free parking
Commitment to promoting from within
COMPANY PROFILE
At Springwell, we are serious about our mission. For more than 37 years, our staff has worked to help ensure that seniors and individuals with disabilities have the village they need and the support that is necessary for them to live at home with dignity and independence.
We are also serious about our employees. We are focused on creating a supportive, open environment that values the people who make a difference - each, and every member of our staff. 
We believe in: 
Accountability: At every level of the organization we are accountable: to the people we serve, to our funders, to our employees, to community professionals who rely on our support.
Continuous Quality Improvement: We honor the fact that each of us is human, and we embrace a desire to examine the value and quality of our work and ask how we can provide a higher quality of service.
Transparency: While we don't claim to be 100% transparent (there are certain things, like salaries and performance evaluations that are private) we continuously strive to be as open as possible.
Balance: Life is a give and take, as is work. We are always examining that balance. Today, we have yoga classes on-site twice a week. We are exploring offering a Weight Watchers meeting. And afternoon meditation is under consideration. If there is a holiday to celebrate we have a party. This year, we built a dedicated lactation room for new moms. We are committed to listening to our staff, and examining and re-balancing our work environment.
 
Keywords: Waltham, Braintree, Milton, Weymouth, Hingham, Randolph, Holbrook, Boston, Brookline, Dedham, Winthrop, Rockland, Chelsea, Canton, Cambridge, Case Manager, Case Management, Housing, Mental Health, Managed Care, Social Services, Social Work, Care Coordinator, Social Worker, Elder, Geriatric Care, Assisted Living, Human Services, LSW, LCSW, Licensed, Medicare, Medicaid, Behavioral Health, Community Health, Long Term Care, Community Services, Medical, Community Health Worker, Health Care, Community Based Care
 
If interested, please apply at https://springwell.applicantpro.com/jobs/
For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://springwell.applicantpro.com/jobs/1265670-143011.html "
3,Part-Time Floating Nutrition Assistant,"(Waltham, MA",Nov 29,https://boston.craigslist.org/gbs/npo/d/waltham-part-time-floating-nutrition/7029018143.html,"
compensation: $15.00/hour

employment type: part-time

non-profit organization

","

QR Code Link to This Post


Springwell is looking for a Part-Time Floating Nutrition Assistant to cover daily operations of the Nutrition Department, providing hunger relief to elders in the suburbs West of Boston.
POSITION DESCRIPTION
Duties are included but not limited to: meal delivery to elders, serving meals at elder lunch sites, and other projects as assigned.
This position offers $15.00/hour for a 20-hour work week: Monday - Friday from 9:00 a.m. - 1:00 p.m. and includes paid holiday, vacation and sick time and is eligible for benefits. Mileage is included when a home delivered meal route is covered.
QUALIFICATIONS
A reliable car, current driver's license, and safe driving record required.
Must be able to lift 20lbs.
Must be flexible, able to work independently, friendly, and enjoy working with elders.
Some experience with elders, preferred.
Knowledge of geographic area a plus.
BENEFITS
3 weeks of vacation in first year
Birthday off
11 paid holidays
2 paid floating holidays
15 paid sick days per year (You can accumulate up to 450 hours)
Health & dental insurance with employer contribution
Life and long-term disability insurance at no cost to employee
Flexible Spending Plan
Employee Assistance Plan
401K Retirement Savings Plan w/ employer contribution
Mileage reimbursement
4-day work week option for many positions
Employee referral bonuses
Free parking
Commitment to promoting from within
COMPANY PROFILE
At Springwell, we are serious about our mission. For more than 40 years, our staff has worked to help ensure that seniors and individuals with disabilities have the village they need and the support that is necessary for them to live at home with dignity and independence.
We are also serious about our employees. We are focused on creating a supportive, open environment that values the people who make a difference - each, and every member of our staff. 
We believe in: 
Accountability: At every level of the organization we are accountable: to the people we serve, to our funders, to our employees, to community professionals who rely on our support.
Continuous Quality Improvement: We honor the fact that each of us is human, and we embrace a desire to examine the value and quality of our work and ask how we can provide a higher quality of service.
Transparency: While we don't claim to be 100% transparent (there are certain things, like salaries and performance evaluations that are private) we continuously strive to be as open as possible.
Balance: Life is a give and take, as is work. We are always examining that balance. Today, we have yoga classes on-site twice a week. We are exploring offering a Weight Watchers meeting. And afternoon meditation is under consideration. If there is a holiday to celebrate we have a party. This year, we built a dedicated lactation room for new moms. We are committed to listening to our staff, and examining and re-balancing our work environment.
 
Keywords: Waltham, Newton, Brookline, Watertown, Belmont, Needham, Wellesley, Weston, Boston, Nutrition, Dining, Dining Site, Community Dining, Meals on Wheels, Driver, Food Service, Health Care, Nonprofit, Elder, Elderly Housing, Geriatric Care, Assisted Living, Human Services
 
If interested, please apply at https://springwell.applicantpro.com/jobs/
For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://springwell.applicantpro.com/jobs/1265668-143011.html "
4,"Part-Time Dining Site Assistant, $15/hour","(Waltham, MA",Nov 29,https://boston.craigslist.org/gbs/npo/d/waltham-part-time-dining-site-assistant/7029016025.html,"
compensation: $15.00/hour

employment type: part-time

non-profit organization

","

QR Code Link to This Post


Community Nutrition Program seeks a Part-Time Dining Site Assistant in Brookline and Needham Elderly Housing. Benefits include paid holidays, sick, and vacation time.
Available Positions:
Brookline position offers $15.00 for a 15-hour work week: Monday-Friday from 10:30 AM- 1:30 PM. 
Needham position offers $15.00 for a 15-hour work week: Monday-Friday from 10:30 AM 1:30 PM. 
QUALIFICATIONS
Must be organized, efficient, and enjoy working with elders.
Willing to occasionally cover at other dining sites as needed and be able to lift 25 lbs.
Willing to attend staff meetings every other month at Springwell in Waltham.
A reliable car, current driver's license, and safe driving record required.
Some experience in human services work, preferably with the elderly, preferred.
Experience with food service a plus.
 
For information or to apply, please visit our website at https://springwell.applicantpro.com/jobs/
 
We look forward to hearing from you soon!
 
Keywords: Waltham, Newton, Brookline, Watertown, Belmont, Needham, Wellesley, Weston, Boston, Nutrition, Dining, Dining Site, Community Dining, Food Service, Health Care, Nonprofit, Elder, Elderly Housing, Geriatric Care, Assisted Living, Human Services
For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://springwell.applicantpro.com/jobs/1262531-143011.html "
5,"Part-Time Home Delivered Meals Drivers, $15/hour","(Waltham, MA",Nov 29,https://boston.craigslist.org/gbs/npo/d/waltham-part-time-home-delivered-meals/7029010018.html,"
compensation: $15.00/hour

employment type: part-time

non-profit organization

","

QR Code Link to This Post


Looking to give back? Consider delivering meals to local seniors! Springwell is seeking Part-Time Meals on Wheels Drivers to deliver meals to seniors living in Brookline and Newton!This position offers $15.00/hour for a 15-hour work week: Monday - Friday from 10:00 a.m. - 1:00 p.m. Benefits include paid holidays, sick, and vacation time.
Mileage reimbursement of $0.58 per mile for route. 
QUALIFICATIONS
A reliable car, current driver's license, and safe driving record required.
Must be able to lift 25lbs.
Must have excellent customer service skills and enjoy working with elders.
Some experience with elders, preferred.
Knowledge of geographic area a plus.
 
For information or to apply, please visit our website at https://springwell.applicantpro.com/jobs/
 
We look forward to hearing from you soon!
 
Keywords: Waltham, Newton, Brookline, Watertown, Belmont, Needham, Wellesley, Weston, Boston, Nutrition, Meals on Wheels, Driver, Dining, Food Service, Health Care, Nonprofit, Elder, Elderly Housing, Geriatric Care, Assisted Living, Human Services, Delivery
For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://springwell.applicantpro.com/jobs/1262526-143011.html "
6,Program & Membership Manager,(boston: metro west,Nov 27,https://boston.craigslist.org/bmw/npo/d/wellesley-program-membership-manager/7028068131.html,"
employment type: full-time

","

QR Code Link to This Post


Program & Membership Manager to $60k - Non-Profit!! (A1186722)Our client is looking to hire immediately!!! This is an exciting opportunity for a dedicated professional to join an established non-profit! In this role, you will be responsible for working alongside the Executive Director to manage marketing and outreach to their members nationally; create and execute programs, classes and seminars for members; and drive efforts to increase membership. The ideal candidate will have experience managing social media campaigns; working with CRM databases; interacting directly with members or clients demonstrating a high level of client service. The qualified Program & Membership Manager has 3+ years of experience; advanced skills using the Microsoft Office Suite and various marketing tools; a proactive and flexible work ethic with superior communication, interpersonal, analytical thinking and organizational skills; and an outgoing, helpful personality! Candidates must have cars as this position is not easily accessible via public transportation. Apply today for immediate consideration!!Beacon Hill is an Equal Opportunity Employer that values the strength diversity brings to the workplace. Individuals with Disabilities and Protected Veterans are encouraged to apply.Find Us on Facebook!Follow Us on Twitter!Company Profile:Founded by industry leaders to set a new standard in search, career placement and flexible staffing, we deliver coordinated staffing solutions with unparalleled service, a commitment to project completion and success and a passion for innovation, creativity and continuous improvement.Our niche brands provide direct hire, executive search, temporary staffing, contract consulting and temp/contract-to-hire solutions to emerging growth companies and the Fortune 500 across market sectors, career specialties/disciplines and industries.  Over time, office locations, specialty practice areas and service offerings will be added to address ever changing constituent needs.Learn more about Beacon Hill Staffing Group and our specialty divisions, Beacon Hill Associates, Beacon Hill Financial, Beacon Hill HR, Beacon Hill Legal, Beacon Hill Pharma and Beacon Hill Technologies by visiting www.beaconhillstaffing.com. We look forward to working with you.Beacon Hill. Employing the Future (TM)
"
7,Teen Parenting Spanish Speaking Advocate- Lynn&Chelsea,(Lynn & Chelsea,Nov 27,https://boston.craigslist.org/nos/npo/d/lynn-teen-parenting-spanish-speaking/7028049109.html,"
compensation: Competitive Salary & Benefits

employment type: full-time

","

QR Code Link to This Post


Lynn, MA - Teen Living/Parenting Program Family Advocate Opportunity
Chelsea, MA- Teen Living/Parenting Program Family Advocate Opportunity

Full-Time and Part-Time Opportunities Available - Weekend, Evening and/or Overnight (Female Candidates)

Teen Living/Parenting Program Family Advocate:
The advocates are an integral part of the client's treatment/support team who insure that services are coordinated and delivered to resident families in a comprehensive manner. All staff must be well versed in understanding, creating and maintaining a trauma-informed culture and be amenable to function as an active support in the daily care of the clients and their environment. Employees will be required to understand and work with behavioral and emotional deficits. Employees must provide a safe and structured environment while understanding how and when to intervene and TEACH new, healthier coping responses to stress and anxiety.

Seventy five percent of the TLP position includes documentation of meetings, goals, assessments, plans, intakes and any other necessary information. Each TLP employee will directly manage a case load of not more than four resident families. The TLP employee will also be responsible, either as part of the team or while alone on shift, for the safety of all residents and the facility, with requirements of reporting concerns to the necessary parties.

Essential Job Functions: 
-Demonstrated understanding and ability to respond to crisis situations using the model of Trauma Informed Care, Behavior Management and/or Collaborative Proactive Solutions. 
-Completing all required documentation including but not limited to: intake assessment, Bio Psycho Social, Ebed, weekly meetings, goals, progress notes, treatment plans, referrals and any concerns being addressed. 
-Implement individualized treatment plans based on specific needs or goals of each client utilizing community and other available resources. 
-Document all shift related reports, communication logs (filemaker), globe with details of shift related incidents or occurrences. Ensure passing on shift and client related information to the next shift. 
-Responsible for the safety and security of the teens, children and the facility at all times, by providing structured activities & curriculum based groups. 

Overnight specific shift requirements:
-Responsible for hourly rounds/bed checks on all residents throughout the night, insuring safe sleeping and program safety.
-Ensure hourly rounds and client status is documented.
-Clean/stock the facility and common areas.
-Provide morning transportation to youth as needed.
-Remaining awake during the entire shift is required. The appearance of sleeping is not permitted ( ie lying down, eyes closed)

COMPETENCIES AND QUALIFICATIONS:
High School Diploma required and previous experience working with youth or others in a residential setting. A bachelor's degree or some college is preferred. This position requires strong communication and organization skills. Required to pass initial competency evaluation as well as continued assessments of professional development and future trainings. Employees must have a valid driver's license with an acceptable driving record and be willing to use their personal vehicle when Centerboard's vehicles are not available to meet client transportation demands of care or outreach. Individuals are required to connect with youth with healthy relationships and positive interactions.

Centerboard offers competitive salary, great benefits, flexible schedules and a fun working environment.
Bilingual (Spanish/Portuguese) applicants are encouraged to apply.

Interested and qualified applicants should apply through our website online application process by using the link below. 

https://workforcenow.adp.com/jobs/apply/posting.html?client=cboard#

To learn more about Centerboard, please visit www.centerboard.org    "
8,Awake Overnights-Teen Living/Parenting-Melrose/Chelsea,(Chelsea,Nov 27,https://boston.craigslist.org/gbs/npo/d/chelsea-awake-overnights-teen-living/7028047048.html,"
compensation: Competitive Salary & Benefits.

employment type: full-time

","

QR Code Link to This Post


Awake Overnight Opportunities - Teen Living/Parenting Program

Full-Time & Part-Time Shifts:  Chelsea&Melrose (Female Candidates)

Teen Living/Parenting Program Family Advocate:
The advocates are an integral part of the client's treatment/support team who insure that services are coordinated and delivered to resident families in a comprehensive manner. All staff must be well versed in understanding, creating and maintaining a trauma-informed culture and be amenable to function as an active support in the daily care of the clients and their environment. Employees will be required to understand and work with behavioral and emotional deficits. Employees must provide a safe and structured environment while understanding how and when to intervene and TEACH new, healthier coping responses to stress and anxiety.

Seventy five percent of the TLP position includes documentation of meetings, goals, assessments, plans, intakes and any other necessary information. Each TLP employee will directly manage a case load of not more than four resident families. The TLP employee will also be responsible, either as part of the team or while alone on shift, for the safety of all residents and the facility, with requirements of reporting concerns to the necessary parties.

Essential Job Functions:
-Demonstrated understanding and ability to respond to crisis situations using the model of Trauma Informed Care, Behavior Management and/or Collaborative Proactive Solutions.
-Completing all required documentation including but not limited to: intake assessment, Bio Psycho Social, Ebed, weekly meetings, goals, progress notes, treatment plans, referrals and any concerns being addressed.
-Implement individualized treatment plans based on specific needs or goals of each client utilizing community and other available resources.
-Document all shift related reports, communication logs (filemaker), globe with details of shift related incidents or occurrences. Ensure passing on shift and client related information to the next shift.
-Responsible for the safety and security of the teens, children and the facility at all times, by providing structured activities & curriculum based groups.

Overnight specific shift requirements:
-Responsible for hourly rounds/bed checks on all residents throughout the night, insuring safe sleeping and program safety.
-Ensure hourly rounds and client status is documented.
-Clean/stock the facility and common areas.
-Provide morning transportation to youth as needed.
-Remaining awake during the entire shift is required. The appearance of sleeping is not permitted ( ie lying down, eyes closed)

COMPETENCIES AND QUALIFICATIONS:
High School Diploma required and previous experience working with youth or others in a residential setting. A bachelor's degree or some college is preferred. This position requires strong communication and organization skills. Required to pass initial competency evaluation as well as continued assessments of professional development and future trainings. Employees must have a valid driver's license with an acceptable driving record and be willing to use their personal vehicle when Centerboard's vehicles are not available to meet client transportation demands of care or outreach. Individuals are required to connect with youth with healthy relationships and positive interactions.

Centerboard offers competitive salary, great benefits, flexible schedules and a fun working environment.
Bilingual (Spanish/Portuguese) applicants are encouraged to apply.

Interested and qualified applicants should apply through our website online application process by using the link below.

https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=77ae1eae-436b-4b2a-adb1-cf708eaeee3a

To learn more about Centerboard, please visit www.centerboard.org    "
9,Residential Permanency Youth Counselors-     PRE-ILP,(Lynn,Nov 27,https://boston.craigslist.org/nos/npo/d/lynn-residential-permanency-youth/7028042980.html,"
compensation: Competitive Salary & Benefits.

employment type: full-time

","

QR Code Link to This Post


Pre-Independent Living Program- Lynn
The Direct Care Staff with Centerboard's Youth Services Programs are an integral part of the residents' treatment team. All staff must be well versed in understanding, creating and maintaining a trauma-informed care and be amendable to function as a generalist in the daily care of clients and their environment. Direct Care Staff must become proficient in understanding and treating the behavioral and emotional deficits of at risk youth. They must provide safety and structure while understanding when and how to intervene and teach new, healthier responses to stress and anxiety.

Full-Time/Part-Time Weekend, Evening & Overnight Availability

*Applicants should have experience in a direct care or residential setting as well as working with youth or young 
adults in goal setting and personal development.
*Primary responsibilities include assisting residents with life skills, setting and achieving goals as well as maintaining a safe environment.
*Strong observational skills and the ability to document all aspects of resident's care and progress.
*Strong communication skills and working with minimal supervision is necessary.
*Additional duties include oversight of program residents and shift requirements.
*Applicants with residential experience or advocacy encouraged to apply.
*Centerboard offers competitive salaries and benefit packages.
*If you are looking for a flexible work environment and want to give back to youth in need, this job is for you.

Job requirements include a valid driver's license, GED or High School Diploma, some college education preferred. MAP certification is required after 90 days of employment (Centerboard will assist with training & certification). Ability to pass CORI/DCF/SORI Background check. Must complete & pass 3 full days of training.

Interested and qualified applicants should apply through our website online application process by using the link below. Centerboard offers competitive salary, great benefits, flexible schedules and a fun working environment.

https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=77ae1eae-436b-4b2a-adb1-cf708eaeee3a

To learn more about Centerboard, please visit www.centerboard.org    "
10,Nurse Manager,"(Waltham, MA",Nov 26,https://boston.craigslist.org/gbs/npo/d/waltham-nurse-manager/7027557182.html,"
compensation: Competitive salary

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Exciting opportunity for the unique professional who has great clinical skills and enjoys being a part of a multidisciplinary team.
POSITION DESCRIPTION
Springwell is seeking a Nurse Manager to oversee our Community Transitions Department. The position has a variety of responsibilities that will include:
Supervision of nurses and case managers who conduct assessments of individuals at nursing facilities and assist with long term care placement or returning to the community.
Ensuring compliance with program regulations and guidelines.
Evaluate program strengths and identify areas for improvement.
Involvement in multidisciplinary meetings within and outside of Springwell to provide clinical input into casework.
Outreach to community partners to provide education on the role of Springwell staff in discharge planning and to strengthen community relationships.
Staff training on program regulations and requirements.
Hands on tasks such as running and reviewing reports, and conducting record reviews to work towards continuous quality improvement.
QUALIFICATIONS
Our ideal candidate is organized and able to balance many competing projects, flexible and able to quickly switch priorities, believes in the importance of a multidisciplinary approach to consumer services, and is able to use data to make decisions which support recommendations about program growth and development.
Master's or Bachelor's degree in Nursing and three years' experience in Human Services in a direct relationship with individuals served required.
Valid Massachusetts RN license required.
Three years of full time equivalent experience as a Registered Nurse in a community setting required.
One years of supervisory, administrative or managerial experience preferred.
Familiarity with community services for elders and the Massachusetts aging network preferred.
Demonstrated leadership ability and the ability to work independently as well as part of a team.
Excellent verbal, written and computer skills.
A reliable car, current driver's license and safe driving record required.
BENEFITS
Monday through Friday work schedule/No Weekends or Holidays
3 weeks of vacation in first year
Birthday off
11 paid holidays
2 paid floating holidays
15 paid sick days per year (You can accumulate up to 450 hours)
Health & dental insurance with employer contribution
Life and long-term disability insurance at no cost to employee
Flexible Spending Plan
Employee Assistance Plan
401K Retirement Savings Plan w/ employer contribution
Mileage reimbursement
Employee referral bonuses
Free parking
Commitment to promoting from within
COMPANY PROFILE
At Springwell, we are serious about our mission. For more than 37 years, our staff has worked to help ensure that seniors and individuals with disabilities have the village they need and the support that is necessary for them to live at home with dignity and independence.
We are also serious about our employees. We are focused on creating a supportive, open environment that values the people who make a difference - each, and every member of our staff. 
We believe in: 
Accountability: At every level of the organization we are accountable: to the people we serve, to our funders, to our employees, to community professionals who rely on our support.
Continuous Quality Improvement: We honor the fact that each of us is human, and we embrace a desire to examine the value and quality of our work and ask how we can provide a higher quality of service.
Transparency: While we don't claim to be 100% transparent (there are certain things, like salaries and performance evaluations that are private) we continuously strive to be as open as possible.
Balance: Life is a give and take, as is work. We are always examining that balance. Today, we have yoga classes on-site twice a week. We are exploring offering a Weight Watchers meeting. And afternoon meditation is under consideration. If there is a holiday to celebrate we have a party. This year, we built a dedicated lactation room for new moms. We are committed to listening to our staff, and examining and re-balancing our work environment.
 
If interested, please apply at https://springwell.applicantpro.com/jobs/
For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://springwell.applicantpro.com/jobs/1263677-143011.html "
